name,type,start_time,duration,"mosi","miso"
"SPI","enable",1.23578703,0.000000001,,
"SPI","result",1.235964551,0.000848122,0xFE,0x47
"SPI","disable",1.236841326,0.000000001,,
"SPI","enable",1.236921984,0.000000001,,
"SPI","result",1.237098073,0.000848127,0xB8,0x01
"SPI","disable",1.237976306,0.000000001,,
"SPI","enable",1.238063607,0.000000001,,
"SPI","result",1.2382316,0.000848127,0xB8,0x8B
"SPI","disable",1.239117933,0.000000001,,
"SPI","enable",1.239202377,0.000000001,,
"SPI","result",1.239365141,0.000848114,0x74,0x87
"SPI","disable",1.240248127,0.000000001,,
"SPI","enable",1.336923338,0.000000001,,
"SPI","result",1.337075257,0.000848123,0xFE,0x47
"SPI","disable",1.338916477,0.000000001,,
"SPI","enable",1.338997114,0.000000001,,
"SPI","result",1.339115609,0.000848121,0xB8,0x01
"SPI","disable",1.339997158,0.000000001,,
"SPI","enable",1.340084469,0.000000001,,
"SPI","result",1.340249135,0.000848123,0xB8,0x8B
"SPI","disable",1.341138792,0.000000001,,
"SPI","enable",1.341223237,0.000000001,,
"SPI","result",1.341382669,0.000848116,0x74,0x87
"SPI","disable",1.342259467,0.000000001,,
"SPI","enable",1.439146051,0.000000001,,
"SPI","result",1.439319497,0.00084812,0xFE,0x47
"SPI","disable",1.440200374,0.000000001,,
"SPI","enable",1.44028101,0.000000001,,
"SPI","result",1.440453022,0.000848122,0xB8,0x01
"SPI","disable",1.441335333,0.000000001,,
"SPI","enable",1.441422638,0.000000001,,
"SPI","result",1.441586549,0.000848123,0xB8,0x8B
"SPI","disable",1.442468382,0.000000001,,
"SPI","enable",1.442552843,0.000000001,,
"SPI","result",1.442720082,0.000848117,0x74,0x87
"SPI","disable",1.443607158,0.000000001,,
"SPI","enable",1.540252854,0.000000001,,
"SPI","result",1.540430065,0.00084812,0xFE,0x47
"SPI","disable",1.541307171,0.000000001,,
"SPI","enable",1.5414059,0.000000001,,
"SPI","result",1.541563587,0.000848125,0xB8,0x01
"SPI","disable",1.542713492,0.000000001,,
"SPI","enable",1.542800797,0.000000001,,
"SPI","result",1.542923822,0.000848123,0xB8,0x8B
"SPI","disable",1.543800848,0.000000001,,
"SPI","enable",1.543885301,0.000000001,,
"SPI","result",1.544057355,0.000848118,0x74,0x87
"SPI","disable",1.544939611,0.000000001,,
"SPI","enable",1.641625295,0.000000001,,
"SPI","result",1.641767477,0.000848122,0xFE,0x47
"SPI","disable",1.642643427,0.000000001,,
"SPI","enable",1.642724072,0.000000001,,
"SPI","result",1.642901001,0.000848126,0xB8,0x01
