,index,name,type,start_time,duration,mosi,miso,~miso,decoded,meaning,CB1,CB1_bin,BED,BED_bin
1664,4993,SPI,result,18.46961488,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1665,4996,SPI,result,18.47074848,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1666,4999,SPI,result,18.47188208,0.0008488,0x6B,0xB8,0x47,CB1,???,0x6B,01101011,,
1667,5002,SPI,result,18.47301568,0.00084864,0x87,0x94,0x6B,EOM,,,,,
1668,5005,SPI,result,18.47426256,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1669,5008,SPI,result,18.47539616,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1670,5011,SPI,result,18.47652976,0.00084864,0x6B,0xB8,0x47,CB1,???,0x6B,01101011,,
1671,5014,SPI,result,18.47800336,0.00084864,0x87,0x94,0x6B,EOM,,,,,
1672,5017,SPI,result,18.47925024,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1673,5020,SPI,result,18.48038384,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1674,5023,SPI,result,18.48151744,0.00084864,0x6B,0xB8,0x47,CB1,???,0x6B,01101011,,
1675,5026,SPI,result,18.48265088,0.0008488,0x87,0x94,0x6B,EOM,,,,,
1676,5029,SPI,result,18.4840112,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1677,5032,SPI,result,18.4851448,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1678,5035,SPI,result,18.4862784,0.00084864,0x6B,0xB8,0x47,CB1,???,0x6B,01101011,,
1679,5038,SPI,result,18.48741184,0.0008488,0x87,0x94,0x6B,EOM,,,,,
1680,5041,SPI,result,18.48865888,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1681,5044,SPI,result,18.49047248,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1682,5047,SPI,result,18.49160608,0.0008488,0x6B,0xB8,0x47,CB1,???,0x6B,01101011,,
1683,5050,SPI,result,18.49273968,0.00084864,0x87,0x94,0x6B,EOM,,,,,
1684,5053,SPI,result,18.49398656,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1685,5056,SPI,result,18.49512016,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1686,5059,SPI,result,18.4962536,0.0008488,0x6B,0xB8,0x47,CB1,???,0x6B,01101011,,
1687,5062,SPI,result,18.4973872,0.0008488,0x87,0x94,0x6B,EOM,,,,,
1688,5065,SPI,result,18.49863424,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1689,5068,SPI,result,18.49976768,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1690,5071,SPI,result,18.50090128,0.0008488,0x6B,0xB8,0x47,CB1,???,0x6B,01101011,,
1691,5074,SPI,result,18.50282832,0.0008488,0x87,0x94,0x6B,EOM,,,,,
1692,5077,SPI,result,18.5040752,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1693,5080,SPI,result,18.5052088,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1694,5083,SPI,result,18.5063424,0.00084864,0x6B,0xB8,0x47,CB1,???,0x6B,01101011,,
1695,5086,SPI,result,18.507476,0.00084864,0x87,0x94,0x6B,EOM,,,,,
1696,5089,SPI,result,18.50872288,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1697,5092,SPI,result,18.50985648,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1698,5095,SPI,result,18.51098992,0.0008488,0x6B,0xB8,0x47,CB1,???,0x6B,01101011,,
1699,5098,SPI,result,18.51212352,0.0008488,0x87,0x94,0x6B,EOM,,,,,
1700,5101,SPI,result,18.514504,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1701,5104,SPI,result,18.5156376,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1702,5107,SPI,result,18.5167712,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1703,5110,SPI,result,18.51790464,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1704,5113,SPI,result,18.51915168,0.00084864,0x47,0x7A,0x85,BED,row counter hit,,,0x85,10000101
1705,5116,SPI,result,18.52028512,0.0008488,0x85,0xB8,0x47,ACK,,,,,
1706,5119,SPI,result,18.52164544,0.0008488,0x00,0xB8,0x47,PATTERN DATA,,,,,
1707,5122,SPI,result,18.52289232,0.0008488,0x00,0xFF,0x00,PATTERN DATA,,,,,
1708,5125,SPI,result,18.52413936,0.00084864,0x00,0xFF,0x00,PATTERN DATA,,,,,
1709,5128,SPI,result,18.52583968,0.00084864,0x00,0xFF,0x00,PATTERN DATA,,,,,
1710,5131,SPI,result,18.52708656,0.00084864,0x00,0xFF,0x00,PATTERN DATA,,,,,
1711,5134,SPI,result,18.52833344,0.0008488,0x00,0xFF,0x00,PATTERN DATA,,,,,
1712,5137,SPI,result,18.52958032,0.0008488,0x00,0xFF,0x00,PATTERN DATA,,,,,
1713,5140,SPI,result,18.53082736,0.00084864,0x00,0xFF,0x00,PATTERN DATA,,,,,
1714,5143,SPI,result,18.53207424,0.00084864,0x00,0xFF,0x00,PATTERN DATA,,,,,
1715,5146,SPI,result,18.53332112,0.0008488,0x00,0xFF,0x00,PATTERN DATA,,,,,
1716,5149,SPI,result,18.534568,0.0008488,0x00,0xFF,0x00,PATTERN DATA,,,,,
1717,5152,SPI,result,18.53638176,0.00084864,0x00,0xFF,0x00,PATTERN DATA,,,,,
1718,5155,SPI,result,18.53762864,0.0008488,0x80,0xFF,0x00,PATTERN DATA,,,,,
1719,5158,SPI,result,18.53887568,0.00084864,0x00,0x7F,0x80,PATTERN DATA,,,,,
1720,5161,SPI,result,18.54012256,0.00084864,0x08,0xFF,0x00,PATTERN DATA,,,,,
1721,5164,SPI,result,18.54136944,0.00084864,0x00,0xF7,0x08,PATTERN DATA,,,,,
1722,5167,SPI,result,18.54261632,0.0008488,0x00,0xFF,0x00,PATTERN DATA,,,,,
1723,5170,SPI,result,18.5438632,0.0008488,0x00,0xFF,0x00,PATTERN DATA,,,,,
1724,5173,SPI,result,18.54511024,0.00084864,0x00,0xFF,0x00,PATTERN DATA,,,,,
1725,5176,SPI,result,18.54703728,0.00084864,0x00,0xFF,0x00,PATTERN DATA,,,,,
1726,5179,SPI,result,18.54828416,0.00084864,0x00,0xFF,0x00,PATTERN DATA,,,,,
1727,5182,SPI,result,18.54953104,0.0008488,0x00,0xFF,0x00,PATTERN DATA,,,,,
1728,5185,SPI,result,18.55077792,0.0008488,0x00,0xFF,0x00,PATTERN DATA,,,,,
