,index,name,type,start_time,duration,mosi,miso,~miso,decoded,meaning,CB1,CB1_bin,BED,BED_bin
1874,5623,SPI,result,21.86396,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1875,5626,SPI,result,21.86509344,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1876,5629,SPI,result,21.96280672,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1877,5632,SPI,result,21.96394032,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1878,5635,SPI,result,21.96507392,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1879,5638,SPI,result,21.96620752,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1880,5641,SPI,result,22.06380736,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1881,5644,SPI,result,22.06494096,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1882,5647,SPI,result,22.06607456,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1883,5650,SPI,result,22.06720816,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1884,5653,SPI,result,22.16492144,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1885,5656,SPI,result,22.16605488,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1886,5659,SPI,result,22.16718848,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1887,5662,SPI,result,22.16832208,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1888,5665,SPI,result,22.19326048,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1889,5668,SPI,result,22.19439408,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1890,5671,SPI,result,22.19552768,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1891,5674,SPI,result,22.19666128,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1892,5677,SPI,result,22.19790816,0.00084864,0x47,0xB2,0x4D,BED,eol/direction change,,,0x4D,01001101
1893,5680,SPI,result,22.19904176,0.00084864,0x4D,0xB8,0x47,ACK,,,,,
1894,5683,SPI,result,22.2001752,0.0008488,0x07,0xB8,0x47,CB1,confirm receipt,0x07,00000111,,
1895,5686,SPI,result,22.2013088,0.0008488,0x87,0xF8,0x07,EOM,,,,,
1896,5689,SPI,result,22.29890848,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1897,5692,SPI,result,22.30004208,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1898,5695,SPI,result,22.30117568,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1899,5698,SPI,result,22.30230928,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1900,5701,SPI,result,22.40002256,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1901,5704,SPI,result,22.401156,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1902,5707,SPI,result,22.4022896,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1903,5710,SPI,result,22.4034232,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1904,5713,SPI,result,22.50113632,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1905,5716,SPI,result,22.50226992,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1906,5719,SPI,result,22.50340352,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1907,5722,SPI,result,22.50453712,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1908,5725,SPI,result,22.6022504,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1909,5728,SPI,result,22.603384,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1910,5731,SPI,result,22.60451744,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1911,5734,SPI,result,22.60565104,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1912,5737,SPI,result,22.70336432,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1913,5740,SPI,result,22.70449792,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1914,5743,SPI,result,22.70563152,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1915,5746,SPI,result,22.70676512,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1916,5749,SPI,result,22.8044784,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1917,5752,SPI,result,22.805612,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1918,5755,SPI,result,22.80674544,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1919,5758,SPI,result,22.80787904,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1920,5761,SPI,result,22.90559232,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1921,5764,SPI,result,22.90672592,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1922,5767,SPI,result,22.90785952,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1923,5770,SPI,result,22.90899312,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1924,5773,SPI,result,23.00704624,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1925,5776,SPI,result,23.00817984,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1926,5779,SPI,result,23.00931344,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1927,5782,SPI,result,23.01044704,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1928,5785,SPI,result,23.10816032,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1929,5788,SPI,result,23.10929392,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1930,5791,SPI,result,23.11042752,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1931,5794,SPI,result,23.11156096,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1932,5797,SPI,result,23.20927424,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1933,5800,SPI,result,23.21040784,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1934,5803,SPI,result,23.21154144,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1935,5806,SPI,result,23.21267504,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1936,5809,SPI,result,23.31038832,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1937,5812,SPI,result,23.31152192,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1938,5815,SPI,result,23.31265536,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1939,5818,SPI,result,23.31378896,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1940,5821,SPI,result,23.41150224,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1941,5824,SPI,result,23.41263584,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1942,5827,SPI,result,23.41376944,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1943,5830,SPI,result,23.41490304,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1944,5833,SPI,result,23.51261616,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1945,5836,SPI,result,23.51374976,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1946,5839,SPI,result,23.51488336,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1947,5842,SPI,result,23.5160168,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1948,5845,SPI,result,23.61373024,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1949,5848,SPI,result,23.61486368,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1950,5851,SPI,result,23.61599728,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1951,5854,SPI,result,23.61713088,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1952,5857,SPI,result,23.71484416,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1953,5860,SPI,result,23.71597776,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1954,5863,SPI,result,23.71711136,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1955,5866,SPI,result,23.7182448,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1956,5869,SPI,result,23.81595824,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1957,5872,SPI,result,23.81709168,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1958,5875,SPI,result,23.81822528,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1959,5878,SPI,result,23.81935888,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1960,5881,SPI,result,23.91707216,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1961,5884,SPI,result,23.91820576,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1962,5887,SPI,result,23.91933936,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1963,5890,SPI,result,23.9204728,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1964,5893,SPI,result,24.02521408,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1965,5896,SPI,result,24.02634768,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1966,5899,SPI,result,24.02748128,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1967,5902,SPI,result,24.02861488,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1968,5905,SPI,result,24.02986176,0.0008488,0x47,0xB2,0x4D,BED,eol/direction change,,,0x4D,01001101
1969,5908,SPI,result,24.03099536,0.00084864,0x4D,0xB8,0x47,ACK,,,,,
1970,5911,SPI,result,24.03212896,0.00084864,0x07,0xB8,0x47,CB1,confirm receipt,0x07,00000111,,
1971,5914,SPI,result,24.0332624,0.0008488,0x87,0xF8,0x07,EOM,,,,,
1972,5917,SPI,result,24.13097552,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1973,5920,SPI,result,24.13210912,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1974,5923,SPI,result,24.13324272,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1975,5926,SPI,result,24.13437616,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1976,5929,SPI,result,24.2320896,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1977,5932,SPI,result,24.23322304,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1978,5935,SPI,result,24.23435664,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1979,5938,SPI,result,24.23549024,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1980,5941,SPI,result,24.33320352,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1981,5944,SPI,result,24.33433712,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1982,5947,SPI,result,24.33547072,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1983,5950,SPI,result,24.33660416,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1984,5953,SPI,result,24.4343176,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1985,5956,SPI,result,24.43545104,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1986,5959,SPI,result,24.43658464,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1987,5962,SPI,result,24.43771824,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1988,5965,SPI,result,24.53543136,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1989,5968,SPI,result,24.53656496,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1990,5971,SPI,result,24.53769856,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1991,5974,SPI,result,24.53883216,0.00084864,0x87,0x74,0x8B,EOM,,,,,
1992,5977,SPI,result,24.63654544,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1993,5980,SPI,result,24.63767904,0.00084864,0x01,0xB8,0x47,ACK,,,,,
1994,5983,SPI,result,24.63881248,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1995,5986,SPI,result,24.63994608,0.0008488,0x87,0x74,0x8B,EOM,,,,,
1996,5989,SPI,result,24.73765936,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
1997,5992,SPI,result,24.73879296,0.0008488,0x01,0xB8,0x47,ACK,,,,,
1998,5995,SPI,result,24.73992656,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
1999,5998,SPI,result,24.74106016,0.00084864,0x87,0x74,0x8B,EOM,,,,,
2000,6001,SPI,result,24.83877344,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
2001,6004,SPI,result,24.83990704,0.00084864,0x01,0xB8,0x47,ACK,,,,,
2002,6007,SPI,result,24.84104048,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
2003,6010,SPI,result,24.84217408,0.0008488,0x87,0x74,0x8B,EOM,,,,,
2004,6013,SPI,result,24.93988736,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
2005,6016,SPI,result,24.94102096,0.0008488,0x01,0xB8,0x47,ACK,,,,,
2006,6019,SPI,result,24.94215456,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
2007,6022,SPI,result,24.94328816,0.00084864,0x87,0x74,0x8B,EOM,,,,,
2008,6025,SPI,result,25.04100144,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
2009,6028,SPI,result,25.04213488,0.0008488,0x01,0xB8,0x47,ACK,,,,,
2010,6031,SPI,result,25.04326848,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
2011,6034,SPI,result,25.04440208,0.00084864,0x87,0x74,0x8B,EOM,,,,,
2012,6037,SPI,result,25.14211536,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
2013,6040,SPI,result,25.1432488,0.0008488,0x01,0xB8,0x47,ACK,,,,,
2014,6043,SPI,result,25.1443824,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
2015,6046,SPI,result,25.145516,0.0008488,0x87,0x74,0x8B,EOM,,,,,
2016,6049,SPI,result,25.24322928,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
2017,6052,SPI,result,25.24436288,0.0008488,0x01,0xB8,0x47,ACK,,,,,
2018,6055,SPI,result,25.24549648,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
2019,6058,SPI,result,25.24663008,0.00084864,0x87,0x74,0x8B,EOM,,,,,
2020,6061,SPI,result,25.34434336,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
2021,6064,SPI,result,25.34547696,0.00084864,0x01,0xB8,0x47,ACK,,,,,
2022,6067,SPI,result,25.3466104,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
2023,6070,SPI,result,25.347744,0.0008488,0x87,0x74,0x8B,EOM,,,,,
2024,6073,SPI,result,25.44545728,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
2025,6076,SPI,result,25.44659088,0.0008488,0x01,0xB8,0x47,ACK,,,,,
2026,6079,SPI,result,25.44772448,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
2027,6082,SPI,result,25.44885808,0.00084864,0x87,0x74,0x8B,EOM,,,,,
2028,6085,SPI,result,25.54657136,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
2029,6088,SPI,result,25.54770496,0.00084864,0x01,0xB8,0x47,ACK,,,,,
2030,6091,SPI,result,25.5488384,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
2031,6094,SPI,result,25.549972,0.0008488,0x87,0x74,0x8B,EOM,,,,,
2032,6097,SPI,result,25.64768528,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
2033,6100,SPI,result,25.64881872,0.0008488,0x01,0xB8,0x47,ACK,,,,,
2034,6103,SPI,result,25.64995232,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
2035,6106,SPI,result,25.65108592,0.00084864,0x87,0x74,0x8B,EOM,,,,,
2036,6109,SPI,result,25.7487992,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
2037,6112,SPI,result,25.7499328,0.00084864,0x01,0xB8,0x47,ACK,,,,,
2038,6115,SPI,result,25.7510664,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
2039,6118,SPI,result,25.75219984,0.0008488,0x87,0x74,0x8B,EOM,,,,,
2040,6121,SPI,result,25.84991328,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
2041,6124,SPI,result,25.85104672,0.0008488,0x01,0xB8,0x47,ACK,,,,,
2042,6127,SPI,result,25.85218032,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
2043,6130,SPI,result,25.85331392,0.0008488,0x87,0x74,0x8B,EOM,,,,,
2044,6133,SPI,result,25.9510272,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
2045,6136,SPI,result,25.9521608,0.0008488,0x01,0xB8,0x47,ACK,,,,,
2046,6139,SPI,result,25.9532944,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
2047,6142,SPI,result,25.954428,0.00084864,0x87,0x74,0x8B,EOM,,,,,
2048,6145,SPI,result,26.05214128,0.00084864,0x47,0xFE,0x01,CB1 (HEADER),,,,,
2049,6148,SPI,result,26.05327488,0.00084864,0x01,0xB8,0x47,ACK,,,,,
2050,6151,SPI,result,26.05452176,0.00084864,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
2051,6154,SPI,result,26.05565536,0.00084864,0x87,0x74,0x8B,EOM,,,,,
2052,6157,SPI,result,26.15336848,0.0008488,0x47,0xFE,0x01,CB1 (HEADER),,,,,
2053,6160,SPI,result,26.15450208,0.00084864,0x01,0xB8,0x47,ACK,,,,,
2054,6163,SPI,result,26.15563552,0.0008488,0x8B,0xB8,0x47,CB1,nothing to say?,0x8B,10001011,,
2055,6166,SPI,result,26.15676912,0.0008488,0x87,0x74,0x8B,END,,,,,
